source target weight p-value_over test_over p-value_under test_under
2 3 1 0.005993993993995658 fail 0.9999939939941551 fail
4 5 5 8.910137543164613e-06 success 0.9999998410439009 fail
4 6 23 1.1754032017418492e-20 success 0.9999999999999882 fail
4 7 4 0.0002731284951934694 success 0.9999910898626284 fail
5 6 4 7.817710514335743e-05 success 0.9999982057973189 fail
5 9 1 0.13224807683583134 fail 0.992480125673323 fail
5 13 1 0.02774858942855849 fail 0.9997494302642037 fail
5 17 1 0.24921267135820904 fail 0.971144196586569 fail
6 7 1 0.2546871622961458 fail 0.9697669661622241 fail
6 39 1 0.6223780793751926 fail 0.7576619111795286 fail
6 11 1 0.396623820385941 fail 0.9165207791611809 fail
6 12 1 0.08035835835841883 fail 0.9983583583596284 fail
6 14 1 0.08035835835841883 fail 0.9983583583596284 fail
6 15 1 0.8024345205416182 fail 0.5314125694758891 fail
6 16 1 0.5324158128710466 fail 0.8339081044335432 fail
6 17 1 0.8189243467643822 fail 0.5038626872647558 fail
6 18 1 0.5120644841314144 fail 0.8485835058569928 fail
8 9 10 2.8502113525115084e-14 success 1.0 fail
8 20 1 0.1356933098789803 fail 0.9919581397382116 fail
8 43 1 0.42480980027612714 fail 0.9011111943210985 fail
8 303 1 0.017999999999982048 fail 1.0 fail
8 305 1 0.017999999999982048 fail 1.0 fail
8 307 1 0.017999999999982048 fail 1.0 fail
9 13 1 0.07774504300905567 fail 0.9977722513206059 fail
9 17 1 0.5615297046277817 fail 0.811239940748494 fail
10 87 1 0.000999999999999002 success 1.0 fail
10 89 1 0.0019999999999983486 success 1.0 fail
10 92 1 0.000999999999999002 success 1.0 fail
10 93 1 0.000999999999999002 success 1.0 fail
10 94 1 0.000999999999999002 success 1.0 fail
10 96 1 0.000999999999999002 success 1.0 fail
10 98 1 0.000999999999999002 success 1.0 fail
11 28 1 0.1968283809616237 fail 0.9818380142106624 fail
11 12 1 0.023867867867891218 fail 0.9998678678687448 fail
11 14 1 0.023867867867891218 fail 0.9998678678687448 fail
11 15 1 0.37344428080575437 fail 0.9269862217744367 fail
11 16 1 0.1968283809616237 fail 0.9818380142106624 fail
11 17 1 0.38898614722644426 fail 0.9200619553360365 fail
11 18 1 0.1869024701183621 fail 0.9837476287453073 fail
12 13 1 0.007987987987994435 fail 0.9999879879882656 fail
12 14 2 2.002002002003163e-06 success 1.0 fail
12 15 1 0.07459259259265556 fail 0.9985925925928971 fail
12 16 1 0.03569369369375993 fail 0.9996936936934155 fail
12 17 1 0.07843843843853082 fail 0.9984384384391729 fail
